train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_auroc,val_auroc,train_lr
0.7107333,0.69426924,0.57771796,0.453125,0.5589623,0.62329775,0.5785573,0.5,0.100003295
0.6469921,0.6634182,0.6098844,0.5941662,0.59149027,0.44052872,0.61106396,0.59339195,0.100003295
0.63299245,0.6370804,0.6262735,0.6215516,0.6070372,0.6079534,0.6277182,0.6214622,0.100003295
0.6271772,0.64454573,0.63273394,0.606533,0.61332417,0.65490174,0.6343086,0.6069371,0.100003295
0.6238007,0.6249079,0.63630456,0.63530964,0.6167212,0.6004666,0.63789576,0.63518584,0.100003295
0.6213358,0.6432632,0.63919675,0.60948205,0.6192874,0.6581098,0.64080036,0.60991293,0.100003295
0.6191458,0.6290183,0.6415272,0.6248335,0.62129104,0.6451529,0.6431628,0.6250046,0.100003295
0.617129,0.6204999,0.6433601,0.635928,0.62283945,0.63151234,0.64506984,0.63599735,0.100003295
0.61526793,0.61700475,0.6451216,0.64443016,0.62414014,0.60809344,0.6468542,0.64429086,0.100003295
0.61345917,0.61364096,0.6472544,0.6484732,0.6258303,0.6015184,0.64906675,0.64831483,0.100003295
0.6054338,0.61283475,0.6546694,0.6429081,0.6323766,0.63765603,0.65668255,0.64293665,0.0100001525
0.60424185,0.60769075,0.65543115,0.64326483,0.63255334,0.653013,0.6575392,0.6434379,0.0100001525
0.6036745,0.6073302,0.65625477,0.6433362,0.6331976,0.65328366,0.6583841,0.64349943,0.0100001525
0.60322094,0.6070876,0.6566261,0.64422804,0.63343805,0.65364414,0.6587591,0.6444379,0.0100001525
0.60282123,0.6071085,0.65690225,0.644121,0.6336451,0.6540009,0.65903395,0.644311,0.0100001525
0.6024595,0.6068054,0.65724736,0.6445491,0.63387555,0.6542683,0.6593763,0.6447416,0.0100001525
0.6021065,0.6069657,0.6575092,0.64437073,0.6340954,0.65450895,0.65965605,0.64456165,0.0100001525
0.6017801,0.6072967,0.6578306,0.64390695,0.634342,0.6557997,0.6599994,0.64411503,0.0100001525
0.6014427,0.6074774,0.65805435,0.6436691,0.63454944,0.65618104,0.6602312,0.6438405,0.0100001525
0.60111374,0.6074273,0.65834475,0.64402586,0.6348067,0.6564673,0.6605381,0.6441907,0.0100001525
0.5991982,0.60801,0.66052043,0.64269406,0.63635594,0.6572953,0.66273326,0.64286363,0.0009999832
0.5990353,0.60041887,0.66055614,0.6578196,0.6369886,0.6284365,0.66277397,0.65770584,0.0009999832
0.5989463,0.6003609,0.660599,0.6578434,0.6369716,0.62860596,0.66282314,0.6577381,0.0009999832
0.5988749,0.600316,0.660718,0.6579861,0.63706994,0.6288346,0.6629477,0.6578824,0.0009999832
0.59880924,0.6002697,0.6607109,0.6580099,0.63707376,0.6292833,0.6629507,0.6579063,0.0009999832
0.5987465,0.60023373,0.66082513,0.658331,0.6371755,0.62960607,0.66306186,0.6582144,0.0009999832
0.5986847,0.60020524,0.660868,0.6583666,0.63717383,0.62985885,0.66310805,0.6582341,0.0009999832
0.5986264,0.60017014,0.66089654,0.6586758,0.6371951,0.6298575,0.66313785,0.65854,0.0009999832
0.5985699,0.60014844,0.6608894,0.65872335,0.63714427,0.630597,0.6631388,0.6585643,0.0009999832
0.5985157,0.6001238,0.66094416,0.65878284,0.63721,0.63096815,0.66318965,0.658628,0.0009999832
0.5982472,0.6000997,0.6611965,0.65886605,0.6381663,0.63034755,0.66338044,0.65870374,9.999797e-05
0.5982221,0.60063136,0.66136074,0.65712994,0.6375877,0.62242323,0.66353834,0.65691245,9.999797e-05
0.59821314,0.600609,0.66138214,0.6572251,0.6375814,0.62260586,0.66356695,0.6569958,9.999797e-05
0.5982057,0.6006021,0.66137266,0.65724885,0.6375982,0.6225546,0.66355723,0.6570347,9.999797e-05
0.5981987,0.6005929,0.66141784,0.6573797,0.63765943,0.6228009,0.6636037,0.6571695,9.999797e-05
0.59819204,0.6005874,0.6614036,0.65741533,0.63765234,0.62286305,0.6635884,0.6572069,9.999797e-05
0.5981853,0.6005816,0.66141313,0.65742725,0.6376812,0.62290215,0.6635975,0.6572131,9.999797e-05
0.5981786,0.6005799,0.66143453,0.6573797,0.63770425,0.6227059,0.66362154,0.65717196,9.999797e-05
0.5981723,0.6005727,0.66145355,0.6574391,0.6377332,0.6229241,0.6636406,0.65722245,9.999797e-05
0.5981664,0.60056585,0.66145355,0.65751046,0.6377235,0.6230449,0.6636377,0.6572982,9.999797e-05
