lr-SGD,step,val_loss,val_acc,val_f1,val_auroc,epoch,train_loss,train_acc,train_f1,train_auroc,train_lr
0.1,0,,,,,,,,,,
,1093,0.6931447386741638,0.5010939836502075,8.715078001841903e-05,0.5000221133232117,0,,,,,
,1093,,,,,0,0.6939777135848999,0.50016188621521,0.32980695366859436,0.500000536441803,0.10000329464673996
0.1,1094,,,,,,,,,,
,2187,0.6931697726249695,0.5010702013969421,0.0,0.5,1,,,,,
,2187,,,,,1,0.6936311721801758,0.5015305876731873,0.3283698856830597,0.5000427961349487,0.10000329464673996
0.1,2188,,,,,,,,,,
,3281,0.6932331323623657,0.5010702013969421,0.0,0.5,2,,,,,
,3281,,,,,2,0.6934793591499329,0.5012592077255249,0.3308711051940918,0.5000838041305542,0.10000329464673996
0.1,3282,,,,,,,,,,
,4375,0.6932291984558105,0.5010702013969421,0.0,0.5,3,,,,,
,4375,,,,,3,0.6934182643890381,0.5016639232635498,0.32914087176322937,0.5000610947608948,0.10000329464673996
0.1,4376,,,,,,,,,,
,5469,0.693211019039154,0.5010702013969421,0.0,0.5,4,,,,,
,5469,,,,,4,0.6933945417404175,0.5016710758209229,0.3326795697212219,0.5000953078269958,0.10000329464673996
0.1,5470,,,,,,,,,,
,6563,0.693196713924408,0.5010821223258972,3.805175219895318e-05,0.5000095963478088,5,,,,,
,6563,,,,,5,0.693382203578949,0.501835286617279,0.3334919214248657,0.5003055930137634,0.10000329464673996
