lr-SGD,step,val_loss,val_acc,val_f1,val_auroc,epoch,train_loss,train_acc,train_f1,train_auroc,train_lr
0.1,0,,,,,,,,,,
,1093,0.6931685209274292,0.5010702013969421,0.0,0.5,0,,,,,
,1093,,,,,0,0.6936935186386108,0.5011187791824341,0.32901284098625183,0.5,0.10000329464673996
0.1,1094,,,,,,,,,,
,2187,0.693234920501709,0.5010702013969421,0.0,0.5,1,,,,,
,2187,,,,,1,0.6934884190559387,0.5011997222900391,0.3279667794704437,0.5000093579292297,0.10000329464673996
0.1,2188,,,,,,,,,,
,3281,0.6932348012924194,0.5010702013969421,0.0,0.5,2,,,,,
,3281,,,,,2,0.6934242248535156,0.5014520287513733,0.3279452919960022,0.5000041723251343,0.10000329464673996
0.1,3282,,,,,,,,,,
,4375,0.6932182312011719,0.5010702013969421,0.0,0.5,3,,,,,
,4375,,,,,3,0.6934027671813965,0.5016686916351318,0.3308260142803192,0.5000377893447876,0.10000329464673996
0.1,4376,,,,,,,,,,
,5469,0.6932100653648376,0.5010702013969421,0.0,0.5,4,,,,,
,5469,,,,,4,0.6933954358100891,0.5014758706092834,0.33013829588890076,0.5000768303871155,0.10000329464673996
0.1,5470,,,,,,,,,,
,6563,0.6932058334350586,0.5010702013969421,0.0,0.5,5,,,,,
,6563,,,,,5,0.6933903694152832,0.5017377138137817,0.3293144702911377,0.5000407695770264,0.10000329464673996
